day,number_of_trips
2017-11-07,36362
2017-11-08,54211
2017-11-09,58417
2017-11-10,38432
2017-11-11,28142
2017-11-12,32471
2017-11-13,38753
2017-11-14,52279
2017-11-15,54230
2017-11-16,49737
2017-11-17,48991
2017-11-18,27745
2017-11-19,31598
2017-11-20,45121
2017-11-21,52451
2017-11-22,32298
2017-11-23,13705
2017-11-24,23724
2017-11-25,30518
2017-11-26,27181
2017-11-27,46733
2017-11-28,51170
2017-11-29,55295
2017-11-30,51700
2017-12-01,50708
2017-12-02,38923
2017-12-03,33728
2017-12-04,49630
2017-12-05,41792
2017-12-06,46335
2017-12-07,45367
2017-12-08,41330
2017-12-09,10804
2017-12-10,19815
2017-12-11,41838
2017-12-12,42620
2017-12-13,32623
2017-12-14,27495
2017-12-15,22944
2017-12-16,19060
2017-12-17,22403
2017-12-18,40168
2017-12-19,49503
2017-12-20,41463
2017-12-21,37592
2017-12-22,34341
2017-12-23,9608
2017-12-24,13216
2017-12-25,6479
2017-12-26,14113
2017-12-27,16365
2017-12-28,13420
2017-12-29,13759
2017-12-30,5956
2017-12-31,6569
2018-01-01,11000
2018-01-02,37636
2018-01-03,48598
2018-01-04,3844
2018-01-05,9944
2018-01-06,8590
2018-01-07,11280
2018-01-08,31642
2018-01-09,50182
2018-01-10,56504
2018-01-11,67922
2018-01-12,44508
2018-01-13,35520
2018-01-14,24798
2018-01-15,35274
2018-01-16,60556
2018-01-17,38020
2018-01-18,55324
2018-01-19,61050
2018-01-20,57014
2018-01-21,55816
2018-01-22,73730
2018-01-23,57594
2018-01-24,72156
2018-01-25,62294
2018-01-26,66146
2018-01-27,68702
2018-01-28,40202
2018-01-29,73598
2018-01-30,55992
2018-01-31,62552
2018-02-01,71122
2018-02-02,52626
2018-02-03,36770
2018-02-04,27918
2018-02-05,58136
2018-02-06,68204
2018-02-07,30578
2018-02-08,63128
2018-02-09,63134
2018-02-10,32648
2018-02-11,17618
2018-02-12,70278
2018-02-13,70378
2018-02-14,79182
2018-02-15,88386
2018-02-16,58382
2018-02-17,35842
2018-02-18,43076
2018-02-19,51354
2018-02-20,88960
2018-02-21,106230
2018-02-22,54020
2018-02-23,51268
2018-02-24,51100
2018-02-25,32300
2018-02-26,85140
2018-02-27,97032
2018-02-28,101418
2018-03-01,91128
2018-03-02,13710
2018-03-03,56728
2018-03-04,50524
2018-03-05,73548
2018-03-06,85378
2018-03-07,16376
2018-03-08,56880
2018-03-09,69824
2018-03-10,50888
2018-03-11,55194
2018-03-12,72680
2018-03-13,46274
2018-03-14,70754
2018-03-15,79148
2018-03-16,69842
2018-03-17,55344
2018-03-18,50316
2018-03-19,78556
2018-03-20,71064
2018-03-21,7510
2018-03-22,54616
2018-03-23,77056
2018-03-24,68796
2018-03-25,51124
2018-03-26,80590
2018-03-27,82708
2018-03-28,85040
2018-03-29,78586
2018-03-30,69574
2018-03-31,83588
2018-04-01,99447
2018-04-02,66189
2018-04-03,77643
2018-04-04,110259
2018-04-05,119442
2018-04-06,106872
2018-04-07,99735
2018-04-08,85230
2018-04-09,121527
2018-04-10,129153
2018-04-11,145836
2018-04-12,159504
2018-04-13,190530
2018-04-14,187791
2018-04-15,61320
2018-04-16,78867
2018-04-17,134067
2018-04-18,153330
2018-04-19,114894
2018-04-20,141156
2018-04-21,190797
2018-04-22,162852
2018-04-23,173301
2018-04-24,175581
2018-04-25,93642
2018-04-26,198231
2018-04-27,117462
2018-04-28,170235
2018-04-29,134511
2018-04-30,123225
2018-05-01,144070
2018-05-02,153546
2018-05-03,138112
2018-05-04,142398
2018-05-05,126658
2018-05-06,97986
2018-05-07,137834
2018-05-08,148626
2018-05-09,156916
2018-05-10,134910
2018-05-11,150532
2018-05-12,69070
2018-05-13,51972
2018-05-14,129458
2018-05-15,105652
2018-05-16,65532
2018-05-17,99578
2018-05-18,126226
2018-05-19,36052
2018-05-20,113898
2018-05-21,142440
2018-05-22,97016
2018-05-23,145310
2018-05-24,149620
2018-05-25,138690
2018-05-26,103194
2018-05-27,51628
2018-05-28,98086
2018-05-29,138180
2018-05-30,144642
2018-05-31,111588
2018-06-01,125754
2018-06-02,120586
2018-06-03,100090
2018-06-04,117826
2018-06-05,143824
2018-06-06,139604
2018-06-07,140966
2018-06-08,145422
2018-06-09,130500
2018-06-10,83284
2018-06-11,136156
2018-06-12,152558
2018-06-13,128584
2018-06-14,151614
2018-06-15,144844
2018-06-16,126374
2018-06-17,112456
2018-06-18,127114
2018-06-19,144340
2018-06-20,148180
2018-06-21,140104
2018-06-22,142172
2018-06-23,102062
2018-06-24,111550
2018-06-25,143504
2018-06-26,161302
2018-06-27,135396
2018-06-28,100866
2018-06-29,139728
2018-06-30,109446
2018-07-01,90532
2018-07-02,117270
2018-07-03,109768
2018-07-04,96744
2018-07-05,118952
2018-07-06,99014
2018-07-07,121836
2018-07-08,120978
2018-07-09,140134
2018-07-10,145018
2018-07-11,146036
2018-07-12,149720
2018-07-13,144242
2018-07-14,125130
2018-07-15,104590
2018-07-16,134146
2018-07-17,96994
2018-07-18,151416
2018-07-19,155986
2018-07-20,149084
2018-07-21,107310
2018-07-22,88570
2018-07-23,106154
2018-07-24,139510
2018-07-25,85980
2018-07-26,142092
2018-07-27,98442
2018-07-28,123094
2018-07-29,126960
2018-07-30,138994
2018-07-31,152554
2018-08-01,128924
2018-08-02,139410
2018-08-03,123916
2018-08-04,102400
2018-08-05,116762
2018-08-06,131354
2018-08-07,128692
2018-08-08,141146
2018-08-09,143884
2018-08-10,139198
2018-08-11,73214
2018-08-12,119670
2018-08-13,88502
2018-08-14,127372
2018-08-15,146154
2018-08-16,141579
2018-08-17,126576
2018-08-18,114511
2018-08-19,91697
2018-08-20,135023
2018-08-21,150296
2018-08-22,145107
2018-08-23,147541
2018-08-24,145630
2018-08-25,129258
2018-08-26,121772
2018-08-27,135132
2018-08-28,133145
2018-08-29,131686
2018-08-30,135687
2018-08-31,117728
2018-09-01,108618
2018-09-02,121574
2018-09-03,110076
2018-09-04,137226
2018-09-05,149887
2018-09-06,140452
2018-09-07,149131
2018-09-08,116544
2018-09-09,39884
2018-09-10,47881
2018-09-11,133054
2018-09-12,106416
2018-09-13,148025
2018-09-14,148610
2018-09-15,142348
2018-09-16,139049
2018-09-17,142644
2018-09-18,106127
2018-09-19,148708
2018-09-20,153565
2018-09-21,149850
2018-09-22,138229
2018-09-23,110955
2018-09-24,143223
2018-09-25,50837
2018-09-26,135964
2018-09-27,150693
2018-09-28,114406
2018-09-29,138631
2018-09-30,132445
2018-10-01,142743
2018-10-02,146210
2018-10-03,153481
2018-10-04,141304
2018-10-05,149012
2018-10-06,114612
2018-10-07,121042
2018-10-08,115766
2018-10-09,147422
2018-10-10,153503
2018-10-11,93058
2018-10-12,134009
2018-10-13,108644
2018-10-14,107639
2018-10-15,116796
2018-10-16,131498
2018-10-17,133800
2018-10-18,121648
2018-10-19,127976
2018-10-20,111526
2018-10-21,77520
2018-10-22,114221
2018-10-23,134417
2018-10-24,126607
2018-10-25,121511
2018-10-26,118262
2018-10-27,25996
2018-10-28,84189
2018-10-29,118408
2018-10-30,129303
2018-10-31,134967
2018-11-01,146344
2018-11-02,125847
2018-11-03,97217
2018-11-04,100456
2018-11-05,65767
2018-11-06,79344
2018-11-07,134059
2018-11-08,126950
2018-11-09,72881
2018-11-10,74925
2018-11-11,72444
2018-11-12,101135
2018-11-13,72778
2018-11-14,97845
2018-11-15,49476
2018-11-16,68339
2018-11-17,75542
2018-11-18,68379
2018-11-19,107898
2018-11-20,102349
2018-11-21,79858
2018-11-22,17436
2018-11-23,31860
2018-11-24,39718
2018-11-25,68380
2018-11-26,57636
2018-11-27,98401
2018-11-28,95318
2018-11-29,101279
2018-11-30,90769
2018-12-01,75117
2018-12-02,36398
2018-12-03,106296
2018-12-04,96565
2018-12-05,92063
2018-12-06,91731
2018-12-07,86535
2018-12-08,59105
2018-12-09,54445
2018-12-10,85450
2018-12-11,93220
2018-12-12,94072
2018-12-13,80401
2018-12-14,88379
2018-12-15,71957
2018-12-16,19492
2018-12-17,89381
2018-12-18,82302
2018-12-19,86926
2018-12-20,67160
2018-12-21,47392
2018-12-22,49256
2018-12-23,43990
2018-12-24,37472
2018-12-25,22168
2018-12-26,50289
2018-12-27,61758
2018-12-28,23842
2018-12-29,57576
2018-12-30,44657
2018-12-31,37526
2019-01-01,21962
2019-01-02,37797
2019-01-03,41676
2019-01-04,43922
2019-01-05,17432
2019-01-06,31451
2019-01-07,36486
2019-01-08,41161
2019-01-09,44338
2019-01-10,38969
2019-01-11,32805
2019-01-12,25128
2019-01-13,22752
2019-01-14,34970
2019-01-15,39067
2019-01-16,40349
2019-01-17,38955
2019-01-18,34227
2019-01-19,23749
2019-01-20,14249
2019-01-21,10286
2019-01-22,28562
2019-01-23,41483
2019-01-24,20081
2019-01-25,38813
2019-01-26,26296
2019-01-27,30021
2019-01-28,35583
2019-01-29,30928
2019-01-30,25141
2019-01-31,18631
2019-02-01,24982
2019-02-02,21999
2019-02-03,31932
2019-02-04,46374
2019-02-05,54161
2019-02-06,39213
2019-02-07,43177
2019-02-08,36454
2019-02-09,23765
2019-02-10,24132
2019-02-11,38636
2019-02-12,15854
2019-02-13,34941
2019-02-14,41650
2019-02-15,46863
2019-02-16,31034
2019-02-17,24037
2019-02-18,25827
2019-02-19,34676
2019-02-20,20426
2019-02-21,39499
2019-02-22,41794
2019-02-23,31608
2019-02-24,24272
2019-02-25,34216
2019-02-26,37516
2019-02-27,36475
2019-02-28,38223
2019-03-01,30228
2019-03-02,18000
2019-03-03,23239
2019-03-04,28421
2019-03-05,37097
2019-03-06,33279
2019-03-07,35907
2019-03-08,40406
2019-03-09,38928
2019-03-10,18897
2019-03-11,52413
2019-03-12,47207
2019-03-13,50120
2019-03-14,57466
2019-03-15,57506
2019-03-16,42138
2019-03-17,36824
2019-03-18,46532
2019-03-19,52981
2019-03-20,55379
2019-03-21,21238
2019-03-22,35463
2019-03-23,37375
2019-03-24,50312
2019-03-25,53451
2019-03-26,55414
2019-03-27,54473
2019-03-28,58527
2019-03-29,59306
2019-03-30,66662
2019-03-31,32762
2019-04-01,51391
2019-04-02,57892
2019-04-03,67911
2019-04-04,66396
2019-04-05,34459
2019-04-06,66529
2019-04-07,64709
2019-04-08,70501
2019-04-09,59327
2019-04-10,70977
2019-04-11,62414
2019-04-12,57999
2019-04-13,71492
2019-04-14,58471
2019-04-15,45654
2019-04-16,63316
2019-04-17,65238
2019-04-18,61558
2019-04-19,64933
2019-04-20,36784
2019-04-21,51866
2019-04-22,44109
2019-04-23,75435
2019-04-24,77724
2019-04-25,60821
2019-04-26,37115
2019-04-27,56434
2019-04-28,41201
2019-04-29,60789
2019-04-30,62661
2019-05-01,60897
2019-05-02,68702
2019-05-03,62406
2019-05-04,56023
2019-05-05,16169
2019-05-06,69915
2019-05-07,72825
2019-05-08,76389
2019-05-09,66681
2019-05-10,68039
2019-05-11,69788
2019-05-12,10729
2019-05-13,22296
2019-05-14,42780
2019-05-15,74308
2019-05-16,77878
2019-05-17,72114
2019-05-18,73143
2019-05-19,69920
2019-05-20,74490
2019-05-21,79255
2019-05-22,82009
2019-05-23,56575
2019-05-24,74858
2019-05-25,59492
2019-05-26,49950
2019-05-27,66596
2019-05-28,59432
2019-05-29,55090
2019-05-30,52481
2019-05-31,83348
2019-06-01,76419
2019-06-02,67298
2019-06-03,77694
2019-06-04,83299
2019-06-05,78806
2019-06-06,81358
2019-06-07,82950
2019-06-08,78097
2019-06-09,73973
2019-06-10,37025
2019-06-11,78052
2019-06-12,85042
2019-06-13,49195
2019-06-14,80615
2019-06-15,73900
2019-06-16,55523
2019-06-17,72530
2019-06-18,36402
2019-06-19,63674
2019-06-20,59928
2019-06-21,65686
2019-06-22,76613
2019-06-23,75547
2019-06-24,80029
2019-06-25,65886
2019-06-26,83301
2019-06-27,81577
2019-06-28,78682
2019-06-29,62714
2019-06-30,63571
2019-07-01,78238
2019-07-02,78160
2019-07-03,74224
2019-07-04,52712
2019-07-05,58723
2019-07-06,50899
2019-07-07,61485
2019-07-08,68030
2019-07-09,83710
2019-07-10,84222
2019-07-11,54495
2019-07-12,81075
2019-07-13,76861
2019-07-14,67911
2019-07-15,81054
2019-07-16,84572
2019-07-17,69171
2019-07-18,61067
2019-07-19,75054
2019-07-20,50578
2019-07-21,48200
2019-07-22,52377
2019-07-23,66278
2019-07-24,87644
2019-07-25,86443
2019-07-26,82877
2019-07-27,72245
2019-07-28,67669
2019-07-29,78757
2019-07-30,80736
2019-07-31,65573
2019-08-01,87705
2019-08-02,82258
2019-08-03,77283
2019-08-04,66870
2019-08-05,82392
2019-08-06,82513
2019-08-07,52194
2019-08-08,79609
2019-08-09,80280
2019-08-10,82798
2019-08-11,73365
2019-08-12,81372
2019-08-13,75002
2019-08-14,75579
2019-08-15,84873
2019-08-16,81536
2019-08-17,78120
2019-08-18,56344
2019-08-19,73962
2019-08-20,82299
2019-08-21,73027
2019-08-22,73740
2019-08-23,63768
2019-08-24,74222
2019-08-25,71900
2019-08-26,79024
2019-08-27,82739
2019-08-28,65078
2019-08-29,83267
2019-08-30,76815
2019-08-31,64239
2019-09-01,62669
2019-09-02,37794
2019-09-03,83717
2019-09-04,84833
2019-09-05,89658
2019-09-06,55228
2019-09-07,78224
2019-09-08,72518
2019-09-09,84810
2019-09-10,87586
2019-09-11,90448
2019-09-12,70159
2019-09-13,87637
2019-09-14,75460
2019-09-15,78968
2019-09-16,82107
2019-09-17,93117
2019-09-18,90310
2019-09-19,89657
2019-09-20,90538
2019-09-21,98760
2019-09-22,76519
2019-09-23,85492
2019-09-24,93044
2019-09-25,94017
2019-09-26,84599
2019-09-27,93270
2019-09-28,81606
2019-09-29,75756
2019-09-30,76555
2019-10-01,87034
2019-10-02,79821
2019-10-03,39070
2019-10-04,83363
2019-10-05,69132
2019-10-06,60532
2019-10-07,77324
2019-10-08,80569
2019-10-09,50408
2019-10-10,84858
2019-10-11,79369
2019-10-12,70753
2019-10-13,67617
2019-10-14,77631
2019-10-15,83346
2019-10-16,44056
2019-10-17,67322
2019-10-18,73590
2019-10-19,66881
2019-10-20,28551
2019-10-21,78444
2019-10-22,54807
2019-10-23,80483
2019-10-24,83432
2019-10-25,81158
2019-10-26,68075
2019-10-27,26760
2019-10-28,76744
2019-10-29,53188
2019-10-30,68641
2019-10-31,49660
2019-11-01,70644
2019-11-02,58580
2019-11-03,52253
2019-11-04,70118
2019-11-05,73769
2019-11-06,72714
2019-11-07,56784
2019-11-08,50295
2019-11-09,37995
2019-11-10,42121
2019-11-11,64884
2019-11-12,39188
2019-11-13,43946
2019-11-14,54642
2019-11-15,59524
2019-11-16,36896
2019-11-17,32100
2019-11-18,35621
2019-11-19,57420
2019-11-20,57626
2019-11-21,62698
2019-11-22,51064
2019-11-23,40090
2019-11-24,18146
2019-11-25,58711
2019-11-26,63639
2019-11-27,51356
2019-11-28,16173
2019-11-29,23220
2019-11-30,26518
2019-12-01,10761
2019-12-02,18018
2019-12-03,39231
2019-12-04,47387
2019-12-05,49029
2019-12-06,51610
2019-12-07,34513
2019-12-08,32308
2019-12-09,15222
2019-12-10,42439
2019-12-11,38181
2019-12-12,45364
2019-12-13,32961
2019-12-14,30266
2019-12-15,33887
2019-12-16,41719
2019-12-17,19303
2019-12-18,37899
2019-12-19,29451
2019-12-20,34210
2019-12-21,24251
2019-12-22,23726
2019-12-23,37368
2019-12-24,25894
2019-12-25,13084
2019-12-26,25227
2019-12-27,31813
2019-12-28,28524
2019-12-29,17979
2019-12-30,12140
2019-12-31,31632
2020-01-01,18171
2020-01-02,41623
2020-01-03,31928
2020-01-04,29496
2020-01-05,27647
2020-01-06,42829
2020-01-07,46633
2020-01-08,42496
2020-01-09,39437
2020-01-10,50944
2020-01-11,56695
2020-01-12,53304
2020-01-13,49554
2020-01-14,44230
2020-01-15,54362
2020-01-16,45317
2020-01-17,34191
2020-01-18,13324
2020-01-19,25987
2020-01-20,24314
2020-01-21,37481
2020-01-22,43496
2020-01-23,48360
2020-01-24,51447
2020-01-25,17805
2020-01-26,36230
2020-01-27,46602
2020-01-28,48913
2020-01-29,47480
2020-01-30,45688
2020-01-31,47378
2020-02-01,35615
2020-02-02,28658
2020-02-03,53621
2020-02-04,52624
2020-02-05,50654
2020-02-06,32199
2020-02-07,32727
2020-02-08,32852
2020-02-09,32703
2020-02-10,26859
2020-02-11,37893
2020-02-12,49440
2020-02-13,37481
2020-02-14,37005
2020-02-15,21661
2020-02-16,27359
2020-02-17,41048
2020-02-18,44192
2020-02-19,49419
2020-02-20,42813
2020-02-21,38766
2020-02-22,39518
2020-02-23,46639
2020-02-24,56490
2020-02-25,39632
2020-02-26,45295
2020-02-27,43538
2020-02-28,43441
2020-02-29,29316
2020-03-01,31955
2020-03-02,57102
2020-03-03,49857
2020-03-04,58791
2020-03-05,58828
2020-03-06,34232
2020-03-07,39561
2020-03-08,47115
2020-03-09,68944
2020-03-10,64467
2020-03-11,61962
2020-03-12,51451
2020-03-13,43462
2020-03-14,44340
2020-03-15,36226
2020-03-16,29538
2020-03-17,24395
2020-03-18,30563
2020-03-19,20896
2020-03-20,31423
2020-03-21,31859
2020-03-22,19938
2020-03-23,4012
2020-03-24,20950
2020-03-25,12102
2020-03-26,22054
2020-03-27,26588
2020-03-28,8893
2020-03-29,9701
2020-03-30,15085
2020-03-31,15067
2020-04-01,20421
2020-04-02,19055
2020-04-03,11351
2020-04-04,28940
2020-04-05,25815
2020-04-06,24716
2020-04-07,23693
2020-04-08,20793
2020-04-09,14225
2020-04-10,16318
2020-04-11,33257
2020-04-12,31651
2020-04-13,7825
2020-04-14,25377
2020-04-15,22248
2020-04-16,19615
2020-04-17,18947
2020-04-18,15942
2020-04-19,47177
2020-04-20,21930
2020-04-21,17079
2020-04-22,23829
2020-04-23,19177
2020-04-24,12635
2020-04-25,59122
2020-04-26,9607
2020-04-27,17822
2020-04-28,39717
2020-04-29,21692
2020-04-30,14567
2020-05-01,25002
2020-05-02,73115
2020-05-03,63931
2020-05-04,32410
2020-05-05,35151
2020-05-06,17346
2020-05-07,43800
2020-05-08,17376
2020-05-09,27836
2020-05-10,54714
2020-05-11,22783
2020-05-12,36133
2020-05-13,40715
2020-05-14,41743
2020-05-15,53130
2020-05-16,80590
2020-05-17,63683
2020-05-18,39224
2020-05-19,41020
2020-05-20,45677
2020-05-21,48663
2020-05-22,47561
2020-05-23,23077
2020-05-24,73089
2020-05-25,68095
2020-05-26,53168
2020-05-27,55201
2020-05-28,46274
2020-05-29,53494
2020-05-30,87345
2020-05-31,80928
2020-06-01,53062
2020-06-02,46597
2020-06-03,28867
2020-06-04,39751
2020-06-05,33126
2020-06-06,56433
2020-06-07,80623
2020-06-08,60987
2020-06-09,61931
2020-06-10,63433
2020-06-11,44061
2020-06-12,72800
2020-06-13,90004
2020-06-14,80064
2020-06-15,57756
2020-06-16,65520
2020-06-17,64192
2020-06-18,62337
2020-06-19,79499
2020-06-20,81068
2020-06-21,72411
2020-06-22,59985
2020-06-23,67594
2020-06-24,66980
2020-06-25,69726
2020-06-26,73878
2020-06-27,59402
2020-06-28,69367
2020-06-29,61772
2020-06-30,65277
2020-07-01,63570
2020-07-02,73641
2020-07-03,59505
2020-07-04,71209
2020-07-05,64786
2020-07-06,46138
2020-07-07,67976
2020-07-08,63518
2020-07-09,76605
2020-07-10,22830
2020-07-11,66782
2020-07-12,84584
2020-07-13,69278
2020-07-14,77263
2020-07-15,78542
2020-07-16,79470
2020-07-17,70027
2020-07-18,80715
2020-07-19,67017
2020-07-20,58444
2020-07-21,70808
2020-07-22,52173
2020-07-23,65837
2020-07-24,67015
2020-07-25,87943
2020-07-26,73037
2020-07-27,62642
2020-07-28,70557
2020-07-29,77232
2020-07-30,72278
2020-07-31,70979
2020-08-01,89245
2020-08-02,70286
2020-08-03,67349
2020-08-04,44676
2020-08-05,82006
2020-08-06,79269
2020-08-07,60113
2020-08-08,90466
2020-08-09,83075
2020-08-10,69295
2020-08-11,75544
2020-08-12,66316
2020-08-13,62577
2020-08-14,83951
2020-08-15,92972
2020-08-16,38796
2020-08-17,70530
2020-08-18,82012
2020-08-19,71587
2020-08-20,81414
2020-08-21,85000
2020-08-22,87303
2020-08-23,82153
2020-08-24,71351
2020-08-25,72273
2020-08-26,88290
2020-08-27,69525
2020-08-28,78345
2020-08-29,71469
2020-08-30,92664
2020-08-31,75850
2020-09-01,76846
2020-09-02,70235
2020-09-03,71517
2020-09-04,85643
2020-09-05,89900
2020-09-06,83230
2020-09-07,84085
2020-09-08,79440
2020-09-09,84701
2020-09-10,53130
2020-09-11,94924
2020-09-12,101756
2020-09-13,84877
2020-09-14,79541
2020-09-15,84314
2020-09-16,87212
2020-09-17,87806
2020-09-18,89260
2020-09-19,90230
2020-09-20,77922
2020-09-21,72245
2020-09-22,83059
2020-09-23,90785
2020-09-24,87169
2020-09-25,94057
2020-09-26,99586
2020-09-27,87675
2020-09-28,78276
2020-09-29,59955
2020-09-30,86000
2020-10-01,89974
2020-10-02,81168
2020-10-03,95846
2020-10-04,80891
2020-10-05,75945
2020-10-06,85977
2020-10-07,81482
2020-10-08,84189
2020-10-09,87865
2020-10-10,94221
2020-10-11,75667
2020-10-12,16442
2020-10-13,52008
2020-10-14,88642
2020-10-15,91569
2020-10-16,30809
2020-10-17,88633
2020-10-18,77110
2020-10-19,73493
2020-10-20,76371
2020-10-21,84340
2020-10-22,84041
2020-10-23,87151
2020-10-24,90942
2020-10-25,62028
2020-10-26,51244
2020-10-27,78193
2020-10-28,63002
2020-10-29,19147
2020-10-30,39668
2020-10-31,67085
2020-11-01,33562
2020-11-02,50727
2020-11-03,62267
2020-11-04,65366
2020-11-05,74955
2020-11-06,82331
2020-11-07,98728
2020-11-08,86395
2020-11-09,75911
2020-11-10,84501
2020-11-11,46341
2020-11-12,40778
2020-11-13,48823
2020-11-14,75418
2020-11-15,51156
2020-11-16,57688
2020-11-17,54555
2020-11-18,44153
2020-11-19,51509
2020-11-20,68644
2020-11-21,75415
2020-11-22,46097
2020-11-23,42741
2020-11-24,53305
2020-11-25,57014
2020-11-26,30767
2020-11-27,53221
2020-11-28,53359
2020-11-29,52717
2020-11-30,23329
2020-12-01,53239
2020-12-02,47439
2020-12-03,53257
2020-12-04,40705
2020-12-05,31917
2020-12-06,40883
2020-12-07,41677
2020-12-08,41157
2020-12-09,37149
2020-12-10,51961
2020-12-11,60051
2020-12-12,53582
2020-12-13,61278
2020-12-14,25833
2020-12-15,44890
2020-12-16,26386
2020-12-17,180
2020-12-18,15058
2020-12-19,16790
2020-12-20,16380
2020-12-21,31501
2020-12-22,37375
2020-12-23,40550
2020-12-24,32708
2020-12-25,11896
2020-12-26,19982
2020-12-27,23877
2020-12-28,38927
2020-12-29,33330
2020-12-30,35830
2020-12-31,26441
2021-01-01,18852
2021-01-02,41328
2021-01-03,14609
2021-01-04,36862
2021-01-05,38636
2021-01-06,38011
2021-01-07,38043
2021-01-08,37265
2021-01-09,34715
2021-01-10,35456
2021-01-11,36162
2021-01-12,42408
2021-01-13,42569
2021-01-14,47960
2021-01-15,40560
2021-01-16,41277
2021-01-17,38990
2021-01-18,42834
2021-01-19,40648
2021-01-20,36310
2021-01-21,40969
2021-01-22,44117
2021-01-23,32207
2021-01-24,27450
2021-01-25,36116
2021-01-26,27460
2021-01-27,39041
2021-01-28,34199
2021-01-29,23664
2021-01-30,27450
2021-01-31,21782
2021-02-01,241
2021-02-03,6392
2021-02-04,18473
2021-02-05,23962
2021-02-06,30668
2021-02-07,8146
2021-02-08,18068
2021-02-09,22016
2021-02-10,27886
2021-02-11,22461
2021-02-12,25409
2021-02-13,22631
2021-02-14,22977
2021-02-15,22989
2021-02-16,30322
2021-02-17,30176
2021-02-18,7493
2021-02-19,11815
2021-02-20,24519
2021-02-21,25861
2021-02-22,19127
2021-02-23,32747
2021-02-24,45127
2021-02-25,42619
2021-02-26,43605
2021-02-27,30168
2021-02-28,20860
2021-03-01,33796
2021-03-02,31361
2021-03-03,49059
2021-03-04,39403
2021-03-05,35606
2021-03-06,32745
2021-03-07,34620
2021-03-08,37699
2021-03-09,59011
2021-03-10,53717
2021-03-11,67000
2021-03-12,68087
2021-03-13,52491
2021-03-14,42701
2021-03-15,33654
2021-03-16,37207
2021-03-17,46474
2021-03-18,22081
2021-03-19,42782
2021-03-20,63751
2021-03-21,67574
2021-03-22,55152
2021-03-23,60481
2021-03-24,32136
2021-03-25,63448
2021-03-26,70151
2021-03-27,83056
2021-03-28,24719
2021-03-29,51440
2021-03-30,64189
2021-03-31,44443
2021-04-01,44584
2021-04-02,41832
2021-04-03,59957
2021-04-04,62065
2021-04-05,66685
2021-04-06,74738
2021-04-07,76353
2021-04-08,79948
2021-04-09,66920
2021-04-10,85961
2021-04-11,19740
2021-04-12,32881
2021-04-13,77030
2021-04-14,78479
2021-04-15,32409
2021-04-16,58174
2021-04-17,76009
2021-04-18,79148
2021-04-19,71563
2021-04-20,94110
2021-04-21,60475
2021-04-22,55871
2021-04-23,81094
2021-04-24,102035
2021-04-25,57213
2021-04-26,70157
2021-04-27,78064
2021-04-28,94506
2021-04-29,69135
2021-04-30,79007
2021-05-01,90938
2021-05-02,92097
2021-05-03,59583
2021-05-04,85173
2021-05-05,48722
2021-05-06,91435
2021-05-07,89437
2021-05-08,58543
2021-05-09,52231
2021-05-10,69712
2021-05-11,87329
2021-05-12,92968
2021-05-13,98791
2021-05-14,105387
2021-05-15,116722
2021-05-16,95318
2021-05-17,93390
2021-05-18,103910
2021-05-19,107798
2021-05-20,106148
2021-05-21,110716
2021-05-22,114376
2021-05-23,105311
2021-05-24,87496
2021-05-25,104861
2021-05-26,95977
2021-05-27,110342
2021-05-28,61521
2021-05-29,29320
2021-05-30,17301
2021-05-31,87198
2021-06-01,97484
2021-06-02,104452
2021-06-03,68553
2021-06-04,84809
2021-06-05,118830
2021-06-06,103958
2021-06-07,96152
2021-06-08,73311
2021-06-09,109914
2021-06-10,118855
2021-06-11,105953
2021-06-12,114680
2021-06-13,100470
2021-06-14,82651
2021-06-15,116777
2021-06-16,119837
2021-06-17,119097
2021-06-18,120888
2021-06-19,105395
2021-06-20,105539
2021-06-21,99946
2021-06-22,74148
2021-06-23,120894
2021-06-24,118446
2021-06-25,114431
2021-06-26,116784
2021-06-27,108008
2021-06-28,96794
2021-06-29,101366
2021-06-30,94870
2021-07-01,66588
2021-07-02,76527
2021-07-03,66833
2021-07-04,99390
2021-07-05,95815
2021-07-06,75832
2021-07-07,100923
2021-07-08,73525
2021-07-09,84567
2021-07-10,107192
2021-07-11,101400
2021-07-12,86166
2021-07-13,103353
2021-07-14,108264
2021-07-15,110179
2021-07-16,106098
2021-07-17,80605
2021-07-18,97820
2021-07-19,100575
2021-07-20,109422
2021-07-21,106522
2021-07-22,116020
2021-07-23,110249
2021-07-24,122729
2021-07-25,96144
2021-07-26,96799
2021-07-27,104088
2021-07-28,110440
2021-07-29,74707
2021-07-30,113532
2021-07-31,119518
2021-08-01,92758
2021-08-02,101256
2021-08-03,106941
2021-08-04,107251
2021-08-05,107385
2021-08-06,107416
2021-08-07,113136
2021-08-08,73974
2021-08-09,94642
2021-08-10,90873
2021-08-11,96177
2021-08-12,97894
2021-08-13,97015
2021-08-14,109557
2021-08-15,106329
2021-08-16,100237
2021-08-17,105364
2021-08-18,104572
2021-08-19,102919
2021-08-20,99845
2021-08-21,94626
2021-08-22,15466
2021-08-23,74957
2021-08-24,107065
2021-08-25,104700
2021-08-26,101705
2021-08-27,86850
2021-08-28,102216
2021-08-29,100391
2021-08-30,99077
2021-08-31,109915
2021-09-01,49754
2021-09-02,123928
2021-09-03,112840
2021-09-04,107150
2021-09-05,85730
2021-09-06,104270
